name,description,latitude,longitude,state,image_url,type
Adams Power Plant Transformer House,Adams Power Plant Transformer HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/AdamsPowerPlant_DateUnknown_HABS_15_GeneralViewFromSoutheast_cropped.jpg/330px-AdamsPowerPlant_DateUnknown_HABS_15_GeneralViewFromSoutheast_cropped.jpg,manmade
Susan B. Anthony House,Susan B. Anthony HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Susan-b-anthony-house.jpg/330px-Susan-b-anthony-house.jpg,manmade
Armour-Stiner House,Armour-Stiner HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Armour-Stiner_House_%281%29.jpg/330px-Armour-Stiner_House_%281%29.jpg,manmade
Bennington Battlefield,Bennington BattlefieldMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bennington_Battlefield_State_Historic_Site_30May2008.jpg/330px-Bennington_Battlefield_State_Historic_Site_30May2008.jpg,manmade
Boston Post Road Historic District,Boston Post Road Historic DistrictMore images,,,New York,,manmade
Boughton Hill (Gannagaro),Boughton Hill (Gannagaro)More images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ganondagan-house.jpg/330px-Ganondagan-house.jpg,manmade
Bronck House,Bronck HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bronck-house.jpg/330px-Bronck-house.jpg,manmade
Dr. Oliver Bronson House and Estate,Dr. Oliver Bronson House and EstateMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Dr._Oliver_Bronson_House_and_Estate.jpg/330px-Dr._Oliver_Bronson_House_and_Estate.jpg,manmade
John Brown Farm and Gravesite,John Brown Farm and GravesiteMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/House_at_John_Brown%27s_Farm.jpg/330px-House_at_John_Brown%27s_Farm.jpg,manmade
Buffalo and Erie County Historic Society Building,Buffalo and Erie County Historic Society BuildingMore images,,,New York,,manmade
Buffalo State Hospital,Buffalo State HospitalMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Central_Wing%2C_Old_Buffalo_State_Hospital%2C_Richardson_Olmsted_Complex%2C_Elmwood_Village%2C_Buffalo%2C_NY_-_52596088993.jpg/330px-Central_Wing%2C_Old_Buffalo_State_Hospital%2C_Richardson_Olmsted_Complex%2C_Elmwood_Village%2C_Buffalo%2C_NY_-_52596088993.jpg,manmade
Camp Pine Knot,Camp Pine KnotMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Camp_Pine_Knot%2C_Metcalf_Hall.jpg/330px-Camp_Pine_Knot%2C_Metcalf_Hall.jpg,manmade
Camp Uncas,Camp Uncas,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/1899-Stoddard-Uncas-gate-L.jpg/330px-1899-Stoddard-Uncas-gate-L.jpg,manmade
Chautauqua Historic District,Chautauqua Historic DistrictMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/ChautauquaInst_HallPhilosophy.jpg/330px-ChautauquaInst_HallPhilosophy.jpg,manmade
Christeen(sloop),Christeen(sloop)More images,,,New York,,manmade
Frederick E. Church House,Frederick E. Church HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Olana_WLM_06.jpg/330px-Olana_WLM_06.jpg,manmade
Clermont,ClermontMore images,,,New York,,manmade
Cobblestone Historic District,Cobblestone Historic DistrictMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Cobblestone_Church%2C_Childs%2C_NY.jpg/330px-Cobblestone_Church%2C_Childs%2C_NY.jpg,manmade
Thomas Cole House,Thomas Cole HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Thomas_Cole_NHS_17.jpg/330px-Thomas_Cole_NHS_17.jpg,manmade
Colonial Niagara Historic District,Colonial Niagara Historic DistrictMore images,,,New York,,manmade
Columbia(Steamer),Columbia(Steamer)More images,,,New York,,manmade
Roscoe Conkling House,Roscoe Conkling House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Roscoeconklinghouse.JPG/330px-Roscoeconklinghouse.JPG,manmade
Aaron Copland House,Aaron Copland House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Aaron_Copland_House%2C_Cortlandt_Manor%2C_NY.jpg/330px-Aaron_Copland_House%2C_Cortlandt_Manor%2C_NY.jpg,manmade
Croton Aqueduct (Old),Croton Aqueduct (Old)More images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/45_William_England_-_High_Bridge%2C_Harlem_River%2C_New_York.jpg/330px-45_William_England_-_High_Bridge%2C_Harlem_River%2C_New_York.jpg,manmade
Davis-Ferris Organ,Davis-Ferris OrganMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Davis-Ferris_Organ_Front_View.jpg/330px-Davis-Ferris_Organ_Front_View.jpg,manmade
De Wint House,De Wint HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/DeWint_House_Tappan.JPG/330px-DeWint_House_Tappan.JPG,manmade
Delaware and Hudson Canal,Delaware and Hudson CanalMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Delaware_and_Hudson_Canal_near_Summitville%2C_NY.jpg/330px-Delaware_and_Hudson_Canal_near_Summitville%2C_NY.jpg,manmade
John William Draper House,John William Draper House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/HenryDraperObservatory.jpg/330px-HenryDraperObservatory.jpg,manmade
Dutch Reformed Church,Dutch Reformed ChurchMore images,,,New York,,manmade
"Dutch Reformed Church, Newburgh","Dutch Reformed Church, NewburghMore images",,,New York,,manmade
Eagle Island Camp,Eagle Island Camp,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/BLdgLodge_EIC.jpg/330px-BLdgLodge_EIC.jpg,manmade
Gardner Earl Memorial Chapel and Crematorium,Gardner Earl Memorial Chapel and CrematoriumMore images,,,New York,,manmade
George Eastman House,George Eastman HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/George-Eastman-House%3DExterior.JPG/330px-George-Eastman-House%3DExterior.JPG,manmade
Edward M. Cotter,Edward M. CotterMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cotter2017.jpg/330px-Cotter2017.jpg,manmade
Elephant Hotel,Elephant HotelMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Elephant_Hotel_2007.jpg/330px-Elephant_Hotel_2007.jpg,manmade
Erie Canal,Erie CanalMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Erie_Canalway-_Tug-Lock.jpg/330px-Erie_Canalway-_Tug-Lock.jpg,manmade
Millard Fillmore House,Millard Fillmore HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Millard_Fillmore_House_Sep_12.jpg/330px-Millard_Fillmore_House_Sep_12.jpg,manmade
Fire Fighter(fireboat),Fire Fighter(fireboat)More images,,,New York,,manmade
First Presbyterian Church (Old Whalers),First Presbyterian Church (Old Whalers)More images,,,New York,,manmade
First Reformed Protestant Dutch Church of Kingston,First Reformed Protestant Dutch Church of KingstonMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Old_Dutch_Church%2C_Kingston%2C_NY.jpg/330px-Old_Dutch_Church%2C_Kingston%2C_NY.jpg,manmade
Gen. William Floyd House,Gen. William Floyd HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/GeneralWilliamFloydHouse_WesternvilleNY_SouthFront_fromSoutheast_HABScropped.jpg/330px-GeneralWilliamFloydHouse_WesternvilleNY_SouthFront_fromSoutheast_HABScropped.jpg,manmade
Fort Corchaug Archeological Site,Fort Corchaug Archeological Site,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Fort-corchaug-vicinity.jpg/330px-Fort-corchaug-vicinity.jpg,manmade
Fort Crailo,Fort CrailoMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Fort_Crailo_2010.jpg/330px-Fort_Crailo_2010.jpg,manmade
Fort Crown Point,Fort Crown PointMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Fort_Crown_Point_New_York.jpg/330px-Fort_Crown_Point_New_York.jpg,manmade
Fort Johnson,Fort JohnsonMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/2/28/HQJRTCandJRTCOpsGrpSSI.jpg,manmade
Fort Klock,Fort KlockMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/FortklockSept1991.jpg/330px-FortklockSept1991.jpg,manmade
Fort Massapeag Archeological Site,Fort Massapeag Archeological Site,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Fort_Massapeag_Vicinity-1.jpg/330px-Fort_Massapeag_Vicinity-1.jpg,manmade
Fort Montgomery,Fort MontgomeryMore images,,,New York,,manmade
Fort Orange Archeological Site,Fort Orange Archeological Site,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Fort_Orange_in_c1630_Rensselaerswyck_Map_Detail_%28now_Albany_NY%29.png/330px-Fort_Orange_in_c1630_Rensselaerswyck_Map_Detail_%28now_Albany_NY%29.png,manmade
Fort St. Frédéric,Fort St. FrédéricMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Fort_Saint-Fr%C3%A9d%C3%A9ric_1.jpg/330px-Fort_Saint-Fr%C3%A9d%C3%A9ric_1.jpg,manmade
Fort Stanwix,Fort StanwixMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Fost_areal_image007.jpg/330px-Fost_areal_image007.jpg,manmade
Fort Ticonderoga,Fort TiconderogaMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Fort_Ticonderoga%2C_Ticonderoga%2C_NY.jpg/330px-Fort_Ticonderoga%2C_Ticonderoga%2C_NY.jpg,manmade
General Electric Research Laboratory,General Electric Research LaboratoryMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/GE_Schenectady.JPG/330px-GE_Schenectady.JPG,manmade
Geneseo Historic District,Geneseo Historic DistrictMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Bear_Fountain_in_Geneseo.jpg/330px-Bear_Fountain_in_Geneseo.jpg,manmade
Jay Gould Estate,Jay Gould EstateMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Lyndhurst_%28mansion%29.jpg/330px-Lyndhurst_%28mansion%29.jpg,manmade
Grant Cottage,Grant CottageMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/GrantsCottage.jpeg/330px-GrantsCottage.jpeg,manmade
W. & L. E. Gurley Building,W. & L. E. Gurley BuildingMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Gurley_Building_Wade.jpg/330px-Gurley_Building_Wade.jpg,manmade
James Hall Office,James Hall OfficeMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/James_Hall_Office.jpg/330px-James_Hall_Office.jpg,manmade
Harmony Mills,Harmony MillsMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Harmony_Mills%2C_Cohoes%2C_NY.jpg/330px-Harmony_Mills%2C_Cohoes%2C_NY.jpg,manmade
E.H. Harriman Estate,E.H. Harriman EstateMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Arden_House_1.jpg/330px-Arden_House_1.jpg,manmade
John A. Hartford House,John A. Hartford HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Hartford-hall.jpg/330px-Hartford-hall.jpg,manmade
Jean Hasbrouck House,Jean Hasbrouck HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Jean_Hasbrouck_House.jpg/330px-Jean_Hasbrouck_House.jpg,manmade
Lemuel Haynes House,Lemuel Haynes House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Young-Foote_home.jpg/330px-Young-Foote_home.jpg,manmade
Historic Track,Historic TrackMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Historic_Track%2C_Goshen%2C_NY.jpg/330px-Historic_Track%2C_Goshen%2C_NY.jpg,manmade
Holland Land Office,Holland Land OfficeMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Holland_land_8911.jpg/330px-Holland_land_8911.jpg,manmade
Franklin B. Hough House,Franklin B. Hough House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/FranklinBHoughHouse_LowvilleNY_NPS_1962.jpg/330px-FranklinBHoughHouse_LowvilleNY_NPS_1962.jpg,manmade
Huguenot Street Historic District,Huguenot Street Historic DistrictMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Huguenot_houses_in_New_Paltz.jpg/330px-Huguenot_houses_in_New_Paltz.jpg,manmade
Hurley Historic District,Hurley Historic District,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Main_Street%2C_Hurley%2C_NY.jpg/330px-Main_Street%2C_Hurley%2C_NY.jpg,manmade
Hyde Hall,Hyde HallMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/HydeHall_front_december2007.jpg/330px-HydeHall_front_december2007.jpg,manmade
John Jay Homestead,John Jay HomesteadMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/John_Jay_Homestead_2007.jpg/330px-John_Jay_Homestead_2007.jpg,manmade
Johnson Hall,Johnson HallMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Johnson_Hall_by_Henry.jpg/330px-Johnson_Hall_by_Henry.jpg,manmade
Kleinhans Music Hall,Kleinhans Music HallMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kleinhans_Music_Hall%2C_Symphony_Circle%2C_Front_Park%2C_Buffalo%2C_NY_-_52562411062.jpg/330px-Kleinhans_Music_Hall%2C_Symphony_Circle%2C_Front_Park%2C_Buffalo%2C_NY_-_52562411062.jpg,manmade
Knox Headquarters,Knox HeadquartersMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Knox%27s_Headquarters.jpg/330px-Knox%27s_Headquarters.jpg,manmade
Lake Mohonk Mountain House,Lake Mohonk Mountain HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Mohonk_Mountain_House_2011_View_of_Mohonk_Guest_Rooms_from_One_Hiking_Trail_FRD_3205.jpg/330px-Mohonk_Mountain_House_2011_View_of_Mohonk_Guest_Rooms_from_One_Hiking_Trail_FRD_3205.jpg,manmade
Lamoka,Lamoka,,,New York,,manmade
Land Tortoise(radeau),Upload image,,,New York,,manmade
Irving Langmuir House,Irving Langmuir House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Irving_Langmuir_House_2008.jpg/330px-Irving_Langmuir_House_2008.jpg,manmade
Lindenwald,LindenwaldMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Lindenwald2006.jpg/330px-Lindenwald2006.jpg,manmade
Manitoga (Russel Wright House and Studio),Manitoga (Russel Wright House and Studio)More images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Manitoga.jpg/330px-Manitoga.jpg,manmade
Darwin D. Martin House,Darwin D. Martin HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Darwin_D._Martin_House.jpg/330px-Darwin_D._Martin_House.jpg,manmade
"Lewis Miller Cottage, Chautauqua Institution","Lewis Miller Cottage, Chautauqua InstitutionMore images",,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/LewisMillerCottage_HABS_cropped.jpg/330px-LewisMillerCottage_HABS_cropped.jpg,manmade
Edna St. Vincent Millay House (Steepletop),Edna St. Vincent Millay House (Steepletop)More images,,,New York,,manmade
Modesty (sloop),Modesty (sloop),,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Modesty-sloop.jpg/330px-Modesty-sloop.jpg,manmade
Mohawk Upper Castle Historic District,Mohawk Upper Castle Historic District,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/IndianCastleChurch_afar_December2007.jpg/330px-IndianCastleChurch_afar_December2007.jpg,manmade
Montauk Point Light,Montauk Point LightMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Montauk_Lighthouse%2C_New_York.png/330px-Montauk_Lighthouse%2C_New_York.png,manmade
Montgomery Place,Montgomery PlaceMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Montgomery_Place_2008.jpg/330px-Montgomery_Place_2008.jpg,manmade
Thomas Moran House,Thomas Moran HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Moran-house.jpg/330px-Moran-house.jpg,manmade
"Morrill Hall, Cornell University","Morrill Hall, Cornell UniversityMore images",,,New York,,manmade
Samuel F. B. Morse House,Samuel F. B. Morse HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Locust_Grove%2C_Poughkeepsie%2C_NY%2C_2014.jpg/330px-Locust_Grove%2C_Poughkeepsie%2C_NY%2C_2014.jpg,manmade
Mount Lebanon Shaker Society,Mount Lebanon Shaker SocietyMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Mount_Lebanon_Shaker_Society_12July2008.jpg/330px-Mount_Lebanon_Shaker_Society_12July2008.jpg,manmade
William Sidney Mount House,William Sidney Mount House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/William-sydney-mount-house.jpg/330px-William-sydney-mount-house.jpg,manmade
Kate Mullany House,Kate Mullany HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kate_Mullany_House_oblique_view.jpg/330px-Kate_Mullany_House_oblique_view.jpg,manmade
Nash(harbor tug),Nash(harbor tug)More images,,,New York,,manmade
New York State Barge Canal,New York State Barge Canal,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Lock_30%2C_Erie_Canal.jpg/330px-Lock_30%2C_Erie_Canal.jpg,manmade
New York State Capitol,New York State CapitolMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/NYSCapitolPanorama.jpg/330px-NYSCapitolPanorama.jpg,manmade
New York State Inebriate Asylum,New York State Inebriate AsylumMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Binginebriateasylum.jpg/330px-Binginebriateasylum.jpg,manmade
Newtown Battlefield,Newtown Battlefield,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/NewtownBattlefieldMonument.jpg/330px-NewtownBattlefieldMonument.jpg,manmade
Niagara Reservation,Niagara ReservationMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Niagara_Falls_2009.jpg/330px-Niagara_Falls_2009.jpg,manmade
Nott Memorial Hall,Nott Memorial HallMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/NottMemorialPano.jpg/330px-NottMemorialPano.jpg,manmade
Old House,Old HouseMore images,,,New York,,manmade
"Old Main, Vassar College","Old Main, Vassar CollegeMore images",,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Old_Main%2C_Vassar_College_edit1.jpg/330px-Old_Main%2C_Vassar_College_edit1.jpg,manmade
Oneida Community Mansion House,Oneida Community Mansion HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/OneidaCommunityHomeBld.JPG/330px-OneidaCommunityHomeBld.JPG,manmade
Oriskany Battlefield,Oriskany BattlefieldMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/OriskanyBattlefield_monument_December2007.jpg/330px-OriskanyBattlefield_monument_December2007.jpg,manmade
Owl's Nest,Owl's Nest,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Owl%27s_Nest%2C_Dunhams_Bay%2C_NY.jpg/330px-Owl%27s_Nest%2C_Dunhams_Bay%2C_NY.jpg,manmade
Thomas Paine Cottage,Thomas Paine CottageMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/01_2015_Paine_Cottage.png/330px-01_2015_Paine_Cottage.png,manmade
Petrified Sea Gardens,Petrified Sea Gardens,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grotto_at_Petrified_Sea_Gardens.jpg/330px-Grotto_at_Petrified_Sea_Gardens.jpg,manmade
Philipsburg Manor House,Philipsburg Manor HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Philipsburg_Manor%2C_Sleepy_Hollow%2C_New_York.JPG/330px-Philipsburg_Manor%2C_Sleepy_Hollow%2C_New_York.JPG,manmade
Philipse Manor Hall,Philipse Manor HallMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/3/39/Philipse_Manor_Hall.jpg,manmade
Plattsburgh Bay,Plattsburgh Bay,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Plattsburgh_Bay.jpg/330px-Plattsburgh_Bay.jpg,manmade
Jackson Pollock House and Studio,Jackson Pollock House and StudioMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Pollock-barn.jpg/330px-Pollock-barn.jpg,manmade
Priscilla(sloop),Priscilla(sloop),,,New York,,manmade
Prudential (Guaranty) Building,Prudential (Guaranty) BuildingMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Guaranty_%28Prudential%29_Building%2C_Church_Street_and_Pearl_Street%2C_Buffalo%2C_NY_-_52674539907.jpg/330px-Guaranty_%28Prudential%29_Building%2C_Church_Street_and_Pearl_Street%2C_Buffalo%2C_NY_-_52674539907.jpg,manmade
John D. Rockefeller Estate,John D. Rockefeller EstateMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Kykuit%2C_Tarrytown%2C_NY_-_front_facade.JPG/330px-Kykuit%2C_Tarrytown%2C_NY_-_front_facade.JPG,manmade
Elihu Root House,Elihu Root HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/ElihuRootHouse1.jpg/330px-ElihuRootHouse1.jpg,manmade
Rose Hill,Rose HillMore images,,,New York,,manmade
Roycroft Campus,Roycroft CampusMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Roycroft_Copper_Shop.jpg/330px-Roycroft_Copper_Shop.jpg,manmade
Rudolph Oyster House,Rudolph Oyster House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Rudolph-oyster-house.jpg/330px-Rudolph-oyster-house.jpg,manmade
Sagamore Camp,Sagamore CampMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sagamore_Camp%2C_Long_Lake%2C_NY.jpg/330px-Sagamore_Camp%2C_Long_Lake%2C_NY.jpg,manmade
St. Paul's Cathedral,St. Paul's CathedralMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/St_Pauls_aerial_%28cropped%29.jpg/330px-St_Pauls_aerial_%28cropped%29.jpg,manmade
St. Peter's Episcopal Church,St. Peter's Episcopal ChurchMore images,,,New York,,manmade
Schuyler Flatts Archeological District,Schuyler Flatts Archeological DistrictMore images,,,New York,,manmade
Philip Schuyler Mansion,Philip Schuyler MansionMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Schuyler_Mansion_Panorama_Left.jpg/330px-Schuyler_Mansion_Panorama_Left.jpg,manmade
William H. Seward House,William H. Seward HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/William_H._Seward_House_Auburn.jpg/330px-William_H._Seward_House_Auburn.jpg,manmade
Slabsides,SlabsidesMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Slabsides.jpg/330px-Slabsides.jpg,manmade
USSSlater,USSSlaterMore images,,,New York,,manmade
Gerrit Smith Estate,Gerrit Smith EstateMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Gerrit_Smith_Estate_Gate.jpg/330px-Gerrit_Smith_Estate_Gate.jpg,manmade
John Philip Sousa House,John Philip Sousa HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/John_Philip_Sousa_House_front_cottage.jpg/330px-John_Philip_Sousa_House_front_cottage.jpg,manmade
Springside,SpringsideMore images,,,New York,,manmade
Elizabeth Cady Stanton House,Elizabeth Cady Stanton HouseMore images,,,New York,,manmade
Stepping Stones (Bill and Lois Wilson House),Stepping Stones (Bill and Lois Wilson House),,,New York,,manmade
Stony Point Battlefield,Stony Point BattlefieldMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stony_Point_State_Park.jpg/330px-Stony_Point_State_Park.jpg,manmade
USSThe Sullivans,USSThe SullivansMore images,,,New York,,manmade
Sunnyside,SunnysideMore images,,,New York,,manmade
Top Cottage,Top CottageMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Top_Cottage.jpg/330px-Top_Cottage.jpg,manmade
Troy Savings Bank,Troy Savings BankMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/TroySavingsBankMusicHallPanorama.jpg/330px-TroySavingsBankMusicHallPanorama.jpg,manmade
"Harriet Tubman Home for the Aged, Harriet Tubman Residence, Thompson A.M.E. Zion Church","Harriet Tubman Home for the Aged, Harriet Tubman Residence, Thompson A.M.E. Zion ChurchMore images",,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Harriet_Tubman_Home_for_Aged_Dec_2007.JPG/330px-Harriet_Tubman_Home_for_Aged_Dec_2007.JPG,manmade
United States Military Academy,United States Military AcademyMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/U.S._Military_Academy_Coat_of_Arms.svg/320px-U.S._Military_Academy_Coat_of_Arms.svg.png,manmade
Utica State Hospital (Main Building),Utica State Hospital (Main Building)More images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/UticaStateHospital_center_December2007.jpg/330px-UticaStateHospital_center_December2007.jpg,manmade
Valcour Bay,Valcour Bay,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Valcour_Bay.jpg/330px-Valcour_Bay.jpg,manmade
Van Alen House,Van Alen HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/LuykasVanAlenHouse-1737.jpg/330px-LuykasVanAlenHouse-1737.jpg,manmade
Van Cortlandt Manor,Van Cortlandt Manor,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Van-cortland-manor.jpg/330px-Van-cortland-manor.jpg,manmade
Vassar College Observatory,Vassar College ObservatoryMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Vassar_College_Observatory%2C_March_2014.jpg/330px-Vassar_College_Observatory%2C_March_2014.jpg,manmade
Villa Lewaro,Villa LewaroMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Madam_CJ_Walker_home_67_Broadway_Irvington_NY_jeh.jpg/330px-Madam_CJ_Walker_home_67_Broadway_Irvington_NY_jeh.jpg,manmade
Washington's Headquarters,Washington's HeadquartersMore images,,,New York,,manmade
